"V1","V2"
"""Imagine a typical Beach. Now consider this statement about that place

STATEMENT:
If I put on sunglasses, and put on another pair and take those off, then I will still be wearing sunglasses .

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",5
"""Imagine a typical Library. Now consider this statement about that place

STATEMENT:
If a person takes a book without sending borrow requests, then they will be punished by library rules..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",5
"""Imagine a typical School. Now consider this statement about that place

STATEMENT:
If two student are being disrespectful to each other, they then will be punished by their dean..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",4
"""Imagine a typical Train. Now consider this statement about that place

STATEMENT:
If I see a building while riding the train, that building is between my destination and point of origin .

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",3
"""Imagine a typical Train. Now consider this statement about that place

STATEMENT:
If the sleeping car is not open, then I can still sleep on the train.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",4
"""Imagine a typical grocery store. Now consider this statement about that place

STATEMENT:
If a customer buy some produce, they then will need to pay for it..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",5
"""Imagine a typical grocery store. Now consider this statement about that place

STATEMENT:
If a customer doesn't pay for what they have, they then will be caught and punished..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",4
"""Imagine a typical Airport. Now consider this statement about that place

STATEMENT:
If someone brings water through security, security will take the water, then the person will have to purchase a new water..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",5
"""Imagine a typical Airport. Now consider this statement about that place

STATEMENT:
If someone prints their plane tickets ahead of time, they wont have to print them at the airport, and then it will take less long..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",5
"""Imagine a typical Airport. Now consider this statement about that place

STATEMENT:
if someone looses their luggage, they will have to contact the airline, so then they can retrieve their luggage..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",5
"""Imagine a typical Grocery store. Now consider this statement about that place

STATEMENT:
If a man put stawberries on his grocery list, then he will have to find them at the grocery store and then purchase them.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",4
"""Imagine a typical Grocery store. Now consider this statement about that place

STATEMENT:
If someone needs flour for a cake, the will drive to a grocery store, and purchase flour.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",5
"""Imagine a typical High school . Now consider this statement about that place

STATEMENT:
If the school lunch was bad, than the students would not want to eat it .

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",5
"""Imagine a typical Airport. Now consider this statement about that place

STATEMENT:
If the lady forgets her luggage bag at the check-in desk, then she will possibly miss her flight..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",4
"""Imagine a typical Airport. Now consider this statement about that place

STATEMENT:
If the man drinks too many drinks before getting on the airplane, then he will act up on the flight..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",4
"""Imagine a typical Airport. Now consider this statement about that place

STATEMENT:
If the woman brings a lime green luggage bag to the terminal, then the baggage carrier willbe able to pick it out easily from others..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",4
"""Imagine a typical Football game. Now consider this statement about that place

STATEMENT:
If the game ends in a tie, then the fans will not be that pleased with the outcome..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",4
"""Imagine a typical Bar. Now consider this statement about that place

STATEMENT:
If the lady has too much, then she might get tipsy..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",4
"""Imagine a typical Bar. Now consider this statement about that place

STATEMENT:
If the Uber shows up late, then the man might have to walk..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",4
"""Imagine a typical Coffee Shop. Now consider this statement about that place

STATEMENT:
If a customer leaves their laptop unattended on a table for an extended period, another customer might take it to lost and found..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",4
"""Imagine a typical Coffee Shop. Now consider this statement about that place

STATEMENT:
If a barista notices a regular customer looking unwell, they might offer them water or inquire if they're alright..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",4
"""Imagine a typical Coffee Shop. Now consider this statement about that place

STATEMENT:
If a child spills their drink on the floor, a parent or staff member will likely clean it up immediately..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",4
"""Imagine a typical Grocery Store. Now consider this statement about that place

STATEMENT:
If a customer accidentally knocks over a display of fruits, they will likely apologize to a staff member and help clean it up..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",4
"""Imagine a typical Grocery Store. Now consider this statement about that place

STATEMENT:
If a child throws a tantrum because they want candy, a parent will likely try to calm them down and explain why they can't have it..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",4
