"workerId","place","scenario_base","scenario_num","causal_value","counterfactual_value","embedded_prompt"
"","Beach","scenario_2_","1","If I build many sandcastles, then there will be a small village on the beach","If I were to build many sandcastles, there would be a small village on the beach","Imagine a typical Beach. Now consider this statement about that place

STATEMENT:
If I build many sandcastles, then there will be a small village on the beach.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"","Beach","scenario_2_","2","If someone's umbrella is blown away, it is an exceptionally windy day","If someone's umbrella were to be blown away, it would be an exceptionally windy day","Imagine a typical Beach. Now consider this statement about that place

STATEMENT:
If someone's umbrella is blown away, it is an exceptionally windy day.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"","Beach","scenario_2_","3","If I put on sunglasses, and put on another pair and take those off, then I will still be wearing sunglasses ","If I were to put on a pair of sunglasses, and then pot on another pair and take those off, then I would still be wearing sunglasses ","Imagine a typical Beach. Now consider this statement about that place

STATEMENT:
If I put on sunglasses, and put on another pair and take those off, then I will still be wearing sunglasses .

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"","Library","scenario_3_","1","If a person wants to borrow a book, then they need to send the borrow requests.","If a person had borrowed a book, then they would've need to send then borrow requests.","Imagine a typical Library. Now consider this statement about that place

STATEMENT:
If a person wants to borrow a book, then they need to send the borrow requests..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"","Library","scenario_3_","2","If a person takes a book without sending borrow requests, then they will be punished by library rules.","If a person had taken a book withsending borrow requests, then they  wouldn't have been punished by library rules.","Imagine a typical Library. Now consider this statement about that place

STATEMENT:
If a person takes a book without sending borrow requests, then they will be punished by library rules..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"","Library","scenario_3_","3","If you are in a quiet area in the library, then you should not talk loud.","If you had been in a quiet area in the library, then you wouldn't have been talking loud.","Imagine a typical Library. Now consider this statement about that place

STATEMENT:
If you are in a quiet area in the library, then you should not talk loud..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"","School","scenario_1_","1","If the school bell rings, students then need to be in classroom waiting for class to begin.","If the school bell had rang, student would've been in the classroom waiting for classes to begin.","Imagine a typical School. Now consider this statement about that place

STATEMENT:
If the school bell rings, students then need to be in classroom waiting for class to begin..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"","School","scenario_1_","2","If the teacher says ' class dimisses', students then can have their break to relax between classes,","If the teacher had said ""class dimisses"", student then would've their break to relax between classes ","Imagine a typical School. Now consider this statement about that place

STATEMENT:
If the teacher says ' class dimisses', students then can have their break to relax between classes,.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"","School","scenario_1_","3","If two student are being disrespectful to each other, they then will be punished by their dean.","If two student hadn't been disrespectful to each other, they then wouldn't have been punished by their dean","Imagine a typical School. Now consider this statement about that place

STATEMENT:
If two student are being disrespectful to each other, they then will be punished by their dean..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"","Train","scenario_1_","1","If I see a building while riding the train, that building is between my destination and point of origin ","If I hadn't seen a nuclear power plant on my trip, I wouldn't have known there is one between Detroit and Chicago ","Imagine a typical Train. Now consider this statement about that place

STATEMENT:
If I see a building while riding the train, that building is between my destination and point of origin .

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"","Train","scenario_1_","2","If I am sitting down on the train, I am either drinking coffee or not drinking coffee","If I was sitting on the train, then I either would or would not be drinking coffee","Imagine a typical Train. Now consider this statement about that place

STATEMENT:
If I am sitting down on the train, I am either drinking coffee or not drinking coffee.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"","Train","scenario_1_","3","If the sleeping car is not open, then I can still sleep on the train","If the sleeping car is not open, then I would still be able to sleep on the train","Imagine a typical Train. Now consider this statement about that place

STATEMENT:
If the sleeping car is not open, then I can still sleep on the train.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"","University campus","scenario_3_","1","If someone had taken a campus tour, then they'd have seen the university ","If someone took a campus tour, then they would have seen the university ","Imagine a typical University campus. Now consider this statement about that place

STATEMENT:
If someone had taken a campus tour, then they'd have seen the university .

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"","University campus","scenario_3_","2","If the sidewalks are crowded, it is probably passing time","If the sidewalks walks were crowded, it most likely would've been passing time","Imagine a typical University campus. Now consider this statement about that place

STATEMENT:
If the sidewalks are crowded, it is probably passing time.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"","University campus","scenario_3_","3","If someone is running for the bus, they might be late for class","If someone was running for the bus, they might be the case they would've been late for class","Imagine a typical University campus. Now consider this statement about that place

STATEMENT:
If someone is running for the bus, they might be late for class.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"","grocery store","scenario_2_","1","If a customer buy some produce, they then will need to pay for it.","If a customer hadn't bought any produce, they then woudn't need need to pay for it,","Imagine a typical grocery store. Now consider this statement about that place

STATEMENT:
If a customer buy some produce, they then will need to pay for it..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"","grocery store","scenario_2_","2","If a customer doesn't pay for what they have, they then will be caught and punished.","If a customer had paid for what they have, they then wouldn't have been caught and punished.","Imagine a typical grocery store. Now consider this statement about that place

STATEMENT:
If a customer doesn't pay for what they have, they then will be caught and punished..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"","grocery store","scenario_2_","3","If there is free pastry sample, people then can have a tiny bite of the taste.","If there had been free pastry samples, people then would've had tiny bites of the taste","Imagine a typical grocery store. Now consider this statement about that place

STATEMENT:
If there is free pastry sample, people then can have a tiny bite of the taste..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
