"Question","AverageScore"
"X2",4.3
"X3",3
"X4",4.25
"X5",3.45
"X6",4.85
"X7",3.5
"X8",4.05
"X9",4.5
"X10",4.75
"X11",4.6
"X12",4.05
"X13",4.6
"X14",3
"X15",3.35
"X16",3.65
"X17",4.05
"X18",4.6
"X19",2.9
"X20",3.7
"X21",4
"X22",4.1
"X23",3.7
"X24",4
"X25",3.9
"X26",4.7
"X27",4.55
"X28",3.65
"X29",4.15
"X30",4.45
"X31",4.5
"X32",4.55
"X33",4.15
"X34",3.4
"X35",3.55
"X36",4.85
"X37",4.7
"X38",3.65
"X39",3.05
"X40",3.5
"X41",3.7
"X42",2.85
"X43",3.55
"X44",2.5
"X45",3.4
"X46",3.85
"X47",4.15
"X48",2.75
"X49",4.4
"X50",4.15
"X51",4.2
"X52",2.9
"X53",NA
"X54",NA
